AT1G05620	URH2
AT1G05630	AT5PTASE13
AT1G05640	araport11
AT1G05650	araport11
AT1G04403	araport11
AT1G05660	araport11
AT1G05670	araport11
AT1G05675	UGT74E1
AT1G05680	UGT74E2
AT1G05690	BT3
AT1G05700	araport11
AT1G04407	araport11
AT1G05710	araport11
AT1G05720	araport11
AT1G04413	araport11
AT1G05730	araport11
AT1G04417	araport11
AT1G05740	araport11
AT1G05750	PDE247
AT1G05760	RTM1
AT1G05770	JAL2
AT1G05780	araport11
AT1G04423	araport11
AT1G05783	araport11
AT1G04427	araport11
AT1G05785	araport11
AT1G05790	araport11
AT1G05800	DGL
AT1G05805	BHLH128
AT1G05810	ARA
AT1G05820	SPPL5
AT1G05830	ATX2
AT1G05835	araport11
AT1G04433	araport11
AT1G05840	araport11
AT1G04437	araport11
AT1G05850	CTL1
AT1G05860	araport11
AT1G05870	araport11
AT1G05880	ARI12
AT1G05890	ARI5
AT1G05894	araport11
AT1G05900	NTH2
AT1G05910	araport11
AT1G05920	araport11
AT1G05930	araport11
AT1G05940	CAT9
AT1G05950	araport11
AT1G05960	araport11
AT1G05970	araport11
AT1G05980	araport11
AT1G05990	CML7
AT1G06002	araport11
AT1G06000	UGT89C1
AT1G06010	araport11
AT1G06020	araport11
AT1G06030	araport11
AT1G06040	BBX24
AT1G06045	araport11
AT1G06050	araport11
AT1G06060	araport11
AT1G06070	araport11
AT1G04443	araport11
AT1G06080	ADS1
AT1G06090	araport11
AT1G06100	araport11
AT1G06110	SKIP16
AT1G06120	araport11
AT1G06130	GLX2-4
AT1G06135	araport11
AT1G06137	araport11
AT1G06140	PCMP-E61
AT1G06143	EMB1444
AT1G06150	EMB1444
AT1G06148	araport11
AT1G06160	ERF094
AT1G06170	BHLH89
AT1G04447	araport11
AT1G06180	ATMYB13
AT1G06190	araport11
AT1G06200	araport11
AT1G06210	TOL2
AT1G06220	CLO
AT1G06225	CLE3
AT1G06230	GTE4
AT1G06240	araport11
AT1G06250	araport11
AT1G06265	araport11
AT1G06260	araport11
AT1G06270	araport11
AT1G06280	LBD2
AT1G06290	ACX3
AT1G06310	ACX3.2
AT1G06320	araport11
AT1G06330	araport11
AT1G06340	araport11
AT1G06350	araport11
AT1G06360	araport11
AT1G06380	araport11
AT1G06390	ASK9
AT1G06400	RABA1A
AT1G04453	araport11
AT1G06410	TPS7
AT1G06420	araport11
AT1G06430	FTSH8
AT1G06440	araport11
AT1G06450	CAF1-1
AT1G04463	araport11
AT1G06460	ACD32.1
AT1G04467	araport11
AT1G06470	araport11
AT1G06475	araport11
AT1G06480	araport11
AT1G06490	CALS7
AT1G06500	araport11
AT1G04473	araport11
AT1G06515	araport11
AT1G04477	araport11
AT1G06510	araport11
AT1G06520	GPAT1
AT1G06530	PMD2
AT1G06540	araport11
AT1G06550	araport11
AT1G06560	araport11
AT1G04483	araport11
AT1G06570	HPD
AT1G06580	araport11
AT1G06590	APC5
AT1G06610	araport11
AT1G06620	araport11
AT1G06630	araport11
AT1G06640	araport11
AT1G06645	araport11
AT1G04487	araport11
AT1G06650	araport11
AT1G06660	JASON
AT1G06670	NIH
AT1G06680	PSBP1
AT1G06690	araport11
AT1G06700	PTI11
AT1G06710	araport11
AT1G04493	araport11
AT1G04497	araport11
AT1G06720	araport11
AT1G06730	araport11
AT1G06740	araport11
AT1G06750	araport11
AT1G06760	araport11
AT1G04503	araport11
AT1G06770	DRIP1
AT1G06780	GAUT6
AT1G06790	araport11
AT1G04507	araport11
AT1G06800	PLA-I{gamma}1
AT1G04513	araport11
AT1G06810	araport11
AT1G06820	CRTISO
AT1G06830	GRXS11
AT1G06840	araport11
AT1G06850	AtbZIP52
AT1G04517	araport11
AT1G06860	araport11
AT1G04523	araport11
AT1G06870	TPP2
AT1G04527	araport11
AT1G06880	araport11
AT1G06890	UXT3
AT1G06900	araport11
AT1G06910	TRFL7
AT1G06920	OFP4
AT1G06923	araport11
AT1G04533	araport11
AT1G06925	araport11
AT1G06930	araport11
AT1G06950	TIC110
AT1G06960	araport11
AT1G06970	CHX14
AT1G06980	araport11
AT1G06990	araport11
AT1G07000	ATEXO70B2
AT1G07010	araport11
AT1G04537	araport11
AT1G07020	araport11
AT1G04547	araport11
AT1G07025	araport11
AT1G07030	araport11
AT1G07040	araport11
AT1G07050	araport11
AT1G07051	MIR847A
AT1G07060	araport11
AT1G04557	araport11
AT1G07070	RPL35AA
AT1G07080	araport11
AT1G07090	LSH6
AT1G07100	araport11
AT1G07110	FKFBP
AT1G07119	araport11
AT1G07120	araport11
AT1G04563	araport11
AT1G07128	araport11
AT1G07130	STN1
AT1G07135	araport11
AT1G07140	RANBP1A
